batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
128,16.39,3775.18,16.39,1.205609,0.07,1.21,1,A100,4,4,32,YES,SUCCESS
128,19.66,3775.18,16.39,1.205609,0.07,1.21,1,A100,4,4,32,YES,SUCCESS
128,24.58,3775.18,16.39,1.205609,0.07,1.21,1,A100,4,4,32,YES,SUCCESS
128,157.30,6858.55,32.77,1.327215,0.04,1.33,1,A100,8,8,32,NO,SUCCESS
128,314.59,6858.55,32.77,1.327215,0.04,1.33,1,A100,8,8,32,NO,SUCCESS
