batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
64,97.92,18610212.41,97.92,0.001462,0.01,1.46,4,V100,8,32,80,YES,SUCCESS
64,117.50,18610212.41,97.92,0.001462,0.01,1.46,4,V100,8,32,80,YES,SUCCESS
64,146.88,18610212.41,97.92,0.001462,0.01,1.46,4,V100,8,32,80,YES,SUCCESS
64,235.01,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,NO,SUCCESS
64,470.02,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,NO,SUCCESS
