batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
32,110.16,1608.15,97.92,16.913851,172.73,16913.85,8,V100,4,32,80,YES,SUCCESS
32,235.01,1608.15,97.92,16.913851,172.73,16913.85,8,V100,4,32,80,YES,SUCCESS
32,470.02,1608.15,97.92,16.913851,172.73,16913.85,8,V100,4,32,80,YES,SUCCESS
32,73.44,1138.16,73.44,17.923691,244.06,17923.69,3,V100,8,24,80,NO,SUCCESS
32,88.13,1138.16,73.44,17.923691,244.06,17923.69,3,V100,8,24,80,NO,SUCCESS
64,97.92,1493.83,97.92,18.208194,185.95,18208.19,4,V100,8,32,80,YES,SUCCESS
64,117.50,1493.83,97.92,18.208194,185.95,18208.19,4,V100,8,32,80,YES,SUCCESS
64,146.88,1493.83,97.92,18.208194,185.95,18208.19,4,V100,8,32,80,YES,SUCCESS
64,235.01,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,NO,SUCCESS
64,470.02,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,NO,SUCCESS
128,195.84,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,235.01,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,235.01,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,293.76,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,470.02,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
