batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
128,195.84,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,YES,SUCCESS
128,235.01,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,YES,SUCCESS
128,235.01,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,YES,SUCCESS
128,293.76,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,YES,SUCCESS
128,470.02,22937600.00,195.84,0.002372,0.01,2.37,8,V100,8,64,80,YES,SUCCESS
