batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
128,16.39,3806.57,16.39,1.195667,72.97,1195.67,1,A100,4,4,32,YES,SUCCESS
128,19.66,3806.57,16.39,1.195667,72.97,1195.67,1,A100,4,4,32,YES,SUCCESS
128,24.58,3806.57,16.39,1.195667,72.97,1195.67,1,A100,4,4,32,YES,SUCCESS
128,157.30,6980.57,32.77,1.304016,39.79,1304.02,1,A100,8,8,32,NO,SUCCESS
128,314.59,6980.57,32.77,1.304016,39.79,1304.02,1,A100,8,8,32,NO,SUCCESS
