batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
128,195.84,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,235.01,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,235.01,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,293.76,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
128,470.02,2560.86,195.84,21.242893,108.47,21242.89,8,V100,8,64,80,YES,SUCCESS
