source,model_name,device_type,gpu_type,tp,pp,pipeline_stages,tp_per_stage,num_gpus,num_replicas,max_input_length,max_output_length,batch_size,total_tokens_per_sec,input_tokens_per_sec,output_tokens_per_sec,cost_per_hour,dollar_per_million_token,total_cost,mem_per_gpu_gb,budget_tested,e2e_p50_s,e2e_p90_s,e2e_p99_s,is_best,layer_mapping,num_requests,output_dir,placement,rps,sim_duration_s,source_path,status,total_input_tokens,total_layers,total_output_tokens,total_runtime_hours,tpot_p50_s,tpot_p90_s,tpot_p99_s,ttft_p50_s,ttft_p90_s,ttft_p99_s
solver,llama3-70b-decode,"g5.12xlarge#0,g5.12xlarge#1,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9.0,,1024.0,1024.0,32.0,81.44,0.0,81.44,14.76,50.345054,50.35,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}",14.76,,,,YES,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#1:2}, PP_2:{g5.12xlarge#0:2}, PP_3:{g5.12xlarge#0:2}, PP_4:{g5.12xlarge#1:2}, PP_5:{g6e.4xlarge#1:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.41,,,,,,
solver,llama3-70b-decode,"g6e.24xlarge#0,g6e.4xlarge#3",L40S,,5,5.0,"{PP_1:1, PP_2:1, PP_3:1, PP_4:1, PP_5:1}",5.0,,1024.0,1024.0,32.0,81.44,0.0,81.44,17.12,58.394805,58.39,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:48.0, PP_5:48.0}",17.71,,,,NO,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{g6e.24xlarge#0:1}, PP_3:{g6e.24xlarge#0:1}, PP_4:{g6e.24xlarge#0:1}, PP_5:{g6e.24xlarge#0:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.41,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#1,g5.24xlarge#2,g6e.4xlarge#0","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:1, PP_4:2, PP_5:2}",9.0,,1024.0,1024.0,32.0,81.44,0.0,81.44,17.23,58.770005,58.77,"{PP_1:24.0, PP_2:24.0, PP_3:48.0, PP_4:24.0, PP_5:24.0}",393.22,,,,NO,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#1:2}, PP_2:{g5.12xlarge#1:2}, PP_3:{g6e.4xlarge#0:1}, PP_4:{g5.24xlarge#2:2}, PP_5:{g5.24xlarge#2:2}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.41,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#1,g5.24xlarge#0,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9.0,,1024.0,1024.0,32.0,81.44,0.0,81.44,17.23,58.770005,58.77,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}",196.61,,,,NO,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#1:2}, PP_2:{g5.12xlarge#1:2}, PP_3:{g5.24xlarge#0:2}, PP_4:{g5.24xlarge#0:2}, PP_5:{g6e.4xlarge#1:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.41,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#0,g5.24xlarge#2,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:1, PP_4:2, PP_5:2}",9.0,,1024.0,1024.0,32.0,81.44,0.0,81.44,17.23,58.770005,58.77,"{PP_1:24.0, PP_2:24.0, PP_3:48.0, PP_4:24.0, PP_5:24.0}",22.14,,,,NO,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#0:2}, PP_2:{g5.12xlarge#0:2}, PP_3:{g6e.4xlarge#1:1}, PP_4:{g5.24xlarge#2:2}, PP_5:{g5.24xlarge#2:2}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.41,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9.0,,1024.0,1024.0,64.0,182.16,0.0,182.16,14.76,22.508238,22.51,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}",17.71,,,,YES,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,1.52,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9.0,,1024.0,1024.0,64.0,182.16,0.0,182.16,14.76,22.508238,22.51,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}",22.14,,,,YES,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,1.52,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9.0,,1024.0,1024.0,64.0,182.16,0.0,182.16,14.76,22.508238,22.51,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}",196.61,,,,YES,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,1.52,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#1","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:2, PP_5:1}",9.0,,1024.0,1024.0,64.0,182.16,0.0,182.16,14.76,22.508238,22.51,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:48.0}",393.22,,,,YES,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.12xlarge#3:2}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#2:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g6e.4xlarge#1:1}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,1.52,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#2,g5.12xlarge#3,g6e.4xlarge#3","L40S,A10G",,5,5.0,"{PP_1:1, PP_2:2, PP_3:2, PP_4:2, PP_5:2}",9.0,,1024.0,1024.0,64.0,182.16,0.0,182.16,14.76,22.508238,22.51,"{PP_1:48.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}",14.76,,,,NO,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#3:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g5.12xlarge#2:2}}",,,large-decode/method_enumeration-wrk_decode-in1024-out1024-bs64_64-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,1.52,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#3,g6e.48xlarge#3","L40S,A10G",,5,5.0,"{PP_1:2, PP_2:2, PP_3:2, PP_4:4, PP_5:2}",12.0,,16384.0,16384.0,32.0,73.71,0.0,73.71,33.06,124.595162,124.6,"{PP_1:48.0, PP_2:48.0, PP_3:48.0, PP_4:24.0, PP_5:48.0}",33.06,,,,YES,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g6e.48xlarge#3:2}, PP_2:{g6e.48xlarge#3:2}, PP_3:{g6e.48xlarge#3:2}, PP_4:{g5.12xlarge#3:4}, PP_5:{g6e.48xlarge#3:2}}",,,large-decode/method_enumeration-wrk_decode-in16384-out16384-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.77,,,,,,
solver,llama3-70b-decode,"g5.12xlarge#3,g5.48xlarge#1,g5.48xlarge#3",A10G,,5,5.0,"{PP_1:4, PP_2:4, PP_3:4, PP_4:4, PP_5:4}",20.0,,16384.0,16384.0,32.0,75.06,0.0,75.06,38.25,141.548054,141.55,"{PP_1:24.0, PP_2:24.0, PP_3:24.0, PP_4:24.0, PP_5:24.0}",39.67,,,,NO,"{PP_1:1-16, PP_2:17-32, PP_3:33-48, PP_4:49-64, PP_5:65-80}",,,"{PP_1:{g5.48xlarge#3:4}, PP_2:{g5.48xlarge#1:4}, PP_3:{g5.12xlarge#3:4}, PP_4:{g5.48xlarge#3:4}, PP_5:{g5.48xlarge#1:4}}",,,large-decode/method_enumeration-wrk_decode-in16384-out16384-bs32_32-20260124_163326/solution_summary.csv,SUCCESS,,80.0,,3.7,,,,,,
