batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,gpu_type,tp_degree,num_gpus,total_layers,is_best,status
32,110.16,1608.15,97.92,16.913851,172.73,16913.85,8,V100,4,32,80,YES,SUCCESS
32,235.01,1608.15,97.92,16.913851,172.73,16913.85,8,V100,4,32,80,YES,SUCCESS
32,470.02,1608.15,97.92,16.913851,172.73,16913.85,8,V100,4,32,80,YES,SUCCESS
32,73.44,1138.16,73.44,17.923691,244.06,17923.69,3,V100,8,24,80,NO,SUCCESS
32,88.13,1138.16,73.44,17.923691,244.06,17923.69,3,V100,8,24,80,NO,SUCCESS
