batch_size,budget_tested,throughput_tokens_per_sec,cost_per_hour,cost_per_million_tokens,total_runtime_hours,total_cost,pipeline_stages,placement,num_gpus,total_layers,is_best,status
64,14.76,160.42,14.76,25.558587,1.73,25.56,5,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#3:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g5.12xlarge#2:2}}",9,80,YES,SUCCESS
64,17.71,160.42,14.76,25.558587,1.73,25.56,5,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#3:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g5.12xlarge#2:2}}",9,80,YES,SUCCESS
64,22.14,160.42,14.76,25.558587,1.73,25.56,5,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{g5.12xlarge#2:2}, PP_3:{g5.12xlarge#3:2}, PP_4:{g5.12xlarge#3:2}, PP_5:{g5.12xlarge#2:2}}",9,80,YES,SUCCESS
64,196.61,192.50,34.63,49.971424,1.44,49.97,3,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{p3dn.24xlarge#3:4}, PP_3:{p3dn.24xlarge#3:4}}",9,80,NO,SUCCESS
64,393.22,192.50,34.63,49.971424,1.44,49.97,3,"{PP_1:{g6e.4xlarge#3:1}, PP_2:{p3dn.24xlarge#3:4}, PP_3:{p3dn.24xlarge#3:4}}",9,80,NO,SUCCESS
